code_pro,wilaya,field,activity,description,processed_activity,processed_description,fuzzy_matched_official
E9DHAXZG,Algiers,Services aux entreprises,Installation électrique,Maintenance des équipements industriels et installation électrique domestique et industriel,installation electriqu,maintenance equipements industriel installation electriqu domestique industriel,
PTFSTFKN,Oran,Prestations à domicile,Plombier,"Travaux sur reparation installation eau et gaz a domicile,reparation et installation chaudiere a gaz",plombier,traval reparation installation eau gaz avoir domicilereparation installation chaudiere avoir gaz,
AF74QL8H,Algiers,Services aux entreprises,Reparations materiel informatique et smartphone,Reparations materiel informatique et smartphone pour les entreprise,reparation materiel informatique smartphone,reparation materiel informatique smartphone entreprise,
WKP18ZUC,Jijel,Services aux entreprises,location de groupe electro gaine Méthodes de démolition modernes soudeur Moyens de démolition de bâtiments en bétonEt des morceaux de fer  Et maintenance de groupes électrogènes et d'équipements industriels,bolghobra industrielle,location groupe electro gaine methode demolition moderne soudeur moyen demolition batiment betonet morceal fer maintenanc groupe electrogene dequipement industriel,bolghobra industriel,
QUS5G11Y,Blida,Services aux entreprises,fabrication accessoires automobiles,fabrication de pièces automobiles de première monte en mousse polyuréthane pour siègerie  automobile et toutes les pièces d'isolation thermique et phonique dans l'industrie automobile,fabrication accessoire automobile,fabrication piece automobile premiere monte mousse polyurethane siegerie automobile tout piece disolation thermique phonique lindustrie automobile,
6879D85W,Blida,Services aux entreprises,fabrication d'accessoires automobiles,fabrication de pièces de première monte en mousse polyuréthane pour siègerie automobiles et toutes pièces d'isolation thermique et phonique dans l'industrie automobile,fabrication daccessoire automobile,fabrication piece premier monte mousse polyurethan siegerie automobile tout piece disolation thermique phonique lindustrie automobile,
7NH9BZW3,Algiers,Services aux entreprises,Entreprise de nettoyage,Expérience de 4 ans en temps que gérant entreprise nettoyage et  location de main d'oeuvre,entreprise nettoyage,experience an temps gerer entreprise nettoyage location main doeuvre,
BSPTQ5MP,Algiers,"Conseil, Expertise et formation",Enseignant d'anglais en ligne,Enseigner la langues Anglaise en ligne via des applications telles que Zoom et Google Meet.,enseigner danglai ligne,enseigner langue anglais lign via application tel zoom google meet,
EB7B9CWH,El Bayadh,"Conseil, Expertise et formation",Ingénieur expert en traitement des eaux et leurs ouvrages,"C'est un ingénieur expert dans le traitement des eaux (déminéralisation, refroidissement et épuration des eaux usée ) expert dans l'étude et la réalisation une expérience+5 ans justifier",ingenieur expert traitement eal leur ouvrage,cest ingenieur expert traitement eal demineralisation refroidissement epuration eal use expert letude realisation experience an justifier,
11PH2Q3R,Sidi Bel Abbes,"Conseil, Expertise et formation",Conseils dans le domaine des banque,D'après mon expérience un niveau de la banque je vient de proposer des conseils concernant les relation.les besoin clientèle...les crédits...ext,conseil domaine banqu,dapre experience niveau banqu venir proposer conseil concerner relationle besoin clientelele creditsext,
67Y5R5D9,Mostaganem,Services aux entreprises,import export,l'activité import export,import export,lactivite import export,
7KE1XZBR,Algiers,Services à la personne,Mécanique générale,Mécanique automobile diagnostic,mecaniqu general,mecaniqu automobile diagnostic,
FCMTQ6E8,Algiers,,Fabrication de chaussures,Fabrication de chaussures,fabrication chaussure,fabrication chaussure,
2NWMN5XR,Algiers,,Importation,Importation des produits pour chaussures et accessoires,importation,importation produire chaussure accessoire,
5FAYHRY4,Algiers,,Designer/ architecte d'intérieur,"aménagement et création d'espaces tout en prenant compte de la fonctionnalité, l'ergonomie et l'esthétique...",designer architecte dinterieur,amenagement creation despace tout prenant compte fonctionnalite lergonomie lesthetiqu,
7CSD1RR1,Algiers,"Conseil, Expertise et formation",Audit fiscale,Le conseil fiscale.,audit fiscal,conseil fiscal,
HL5W7HEY,Annaba,Services aux entreprises,Machine de remplissage à café,Machine de remplissage à café capsule,machine remplissage avoir cafe,machine remplissage avoir cafe capsule,
TAA4S4ZU,Tlemcen,Services de loisirs et de récréation,Création artistique couture,Vente et location de tenue de fête animation atelier artistique enfants autour de l activité manuelle ludique  accessible,creation artistique couture,vent location tenir fet animation atelier artistique enfant autour activit manuel ludique accessible,
A3VZDMBH,Souk Ahras,Services à la personne,Atelier mobile de reparation automobile,"-Atelier mobile de reparation _x000D_
automobile. _x000D_
-electricite gineral_x000D_
-scanner auto _x000D_
-reprogrammation calculateur gistion motor",atelier mobile reparation automobile,atelier mobile reparation _ xd _ automobile _ xd _ electricite gineral_xd _ scanner auto _ xd _ reprogrammation calculateur gistion motor,
V5CCL5VM,Tizi Ouzou,Services numériques et activités connexes,freelance,freelance,freelance,freelance,
7FZARE4R,Oran,,Menuiserie,Menuiserie mobile,menuiserie,menuiserie mobile,
LL1E6L84,Algiers,Services numériques et activités connexes,Trader en bourse,"Individu effectuant des opérations sur des produits financiers tels : devises, actions, obligations ou produits dérivés, en utilisant un broker en ligne, afin de réaliser des gains sur le changement (les hausses et les baisses) du cours d’un produit financier.",trader bourse,individu effectuer operation produire financier tel devise action obligation produire derive utiliser broker lign afin realiser gain changemer hausse baisse courir dun produit financier,
LZ1TTGD9,Algiers,Services aux entreprises,Placoplatre,"Place plâtre, électricité, plomberie, maçonnerie",placoplatre,place platr electricite plomberie maconnerie,
HZCBP313,Algiers,Services aux entreprises,Placoplatre,"Place plâtre, électricité, plomberie, maçonnerie",placoplatre,place platr electricite plomberie maconnerie,
CXGVFM7E,Sidi Bel Abbes,"Conseil, Expertise et formation",Enseignement,"Assurer des cours de perfectionnement jumelés de TD et TP de microbiologie  aux étudiants de biologie, agronomie, médecine générale, médecine dentaire, et pharmacie.",enseignemer,assurer cours perfectionnemer jumele td tp microbiologie etudiant biologi agronomi medecine general medecine dentaire pharmacie,
LWYXG23B,Algiers,"Conseil, Expertise et formation",Formateur ; formateur online ou plateforme de formation online,"Bonjour Madame, Monsieur,_x000D_
Actuellement il ya un vide juridique pour les formateurs et les entrepreneurs dans le domaine de la formation sur l'utilisation des entreprises des taxes de formation et d'apprentissage._x000D_
Afin de facilité la facturation de cette prestation de formation aux entreprises puisque le statut de l'auto-entrepreneur est désormais légal, il faut donner le droit aux entreprises d'accepté les factures de l'auto-entrepreneur qui sera déduite de la taxe de formation._x000D_
J'espère que cette proposition soit validé et actualisé légalement, afin de facilité la tache de l'auto-*entrepreneur formateur._x000D_
_x000D_
Cordialement._x000D_
Farid Belkacemi",formateur formateur online plateform formation onlin,bonjour monsieur monsieur_xd _ actuellement ya vide juridique formateur entrepreneur domaine formation lutilisation entreprise taxe formation dapprentissage_xd _ afin facilit facturation ce prestation formation entrepris puisque statut lautoentrepreneur desormai legal falloir donner droit entreprise daccepte facture lautoentrepreneur deduite taxe formation_xd _ jespere ce proposition valide actualiser legalement afin facilit tache lautoentrepreneur formateur_xd _ _ xd _ cordialement_xd _ farid belkacemi,
MAUNPU5E,Algiers,"Conseil, Expertise et formation",Conseil et support pour les entreprises,"Conseil, support et accompagnement des entreprises dans le domaine de digitalisation des entreprises",conseil support entreprise,conseil support accompagnemer entreprise domaine digitalisation entreprendre,
GC356RDE,Tizi Ouzou,"Conseil, Expertise et formation",Artisan en maçonnerie,Maçonnerie crépissage dalle de sol faïence tout tout type de finition,artisan maconnerie,maconnerie crepissage dall sol faience tout tout type finition,
BDB96F3Q,Laghouat,Services à la personne,Écotourisme et Éducation,"Développer des opportunités d'écotourisme autour des initiatives d'agriculture désertique, en proposant des visites éducatives et des ateliers sur l'agriculture durable. Cela pourrait non seulement générer des revenus supplémentaires pour les communautés locales, mais aussi sensibiliser à la conservation de l'environnement et aux pratiques de vie durables.",ecotourisme education,developper opportunite decotourisme autour initiative dagricultur desertiqu proposer visite educative atelier lagricultur durable celer pouvoir non seulement generer revenir supplementaire communaute local aussi sensibiliser avoir conservation lenvironnement pratique vie durable,
6ZBE1L3P,Algiers,Services aux entreprises,Logistique d'entreprise,Gestion de  l'ensemble de l'activité logistique ( gestion approvisionnement / gestion Transport ainsi que la gestion des entrepôts ),logistique dentreprise,gestion lensembl lactivit logistique gestion approvisionnemer gestion transport ainsi gestion entrepot,
9SP4Q1FA,Annaba,Services aux entreprises,Recyclage,"Recyclage de matière solide : plastique , fer , cuivre , aluminium , bois .......ext",recyclage,recyclage matier solide plastique fer cuivr aluminium bois ext,
